Name,Alternating,Unknotting Number
11a_92,Y,2
11a_93,Y,2
11a_94,Y,3
11a_95,Y,2
11a_96,Y,1
11a_97,Y,2
11a_98,Y,1
11a_99,Y,2
11a_100,Y,2
11a_101,Y,1
11a_102,Y,2
11a_103,Y,2
11a_104,Y,1
11a_105,Y,[2;3]
11a_106,Y,1
11a_107,Y,2
11a_108,Y,2
11a_109,Y,2
11a_110,Y,2
11a_111,Y,2
11a_112,Y,2
11a_113,Y,2
11a_114,Y,1
11a_115,Y,2
11a_116,Y,2
11a_117,Y,2
11a_118,Y,2
11a_119,Y,2
11a_120,Y,2
11a_121,Y,1
11a_122,Y,1
11a_123,Y,3
11a_124,Y,3
11a_125,Y,2
11a_126,Y,[2;3]
11a_127,Y,2
11a_128,Y,2
11a_129,Y,2
11a_130,Y,2
11a_131,Y,2
11a_132,Y,2
11a_133,Y,2
11a_134,Y,2
11a_135,Y,2
11a_136,Y,1
11a_137,Y,[2;3]
11a_138,Y,1
11a_139,Y,1
11a_140,Y,2
11a_141,Y,2
11a_142,Y,3
11a_143,Y,2
11a_144,Y,[2;3]
11a_145,Y,2
11a_146,Y,1
11a_147,Y,2
11a_148,Y,2
11a_149,Y,1
11a_150,Y,2
11a_151,Y,2
11a_152,Y,2
11a_153,Y,2
11a_154,Y,2
11a_155,Y,2
11a_156,Y,2
11a_157,Y,2
11a_158,Y,2
11a_159,Y,2
11a_160,Y,1
11a_161,Y,[2;3]
11a_162,Y,2
11a_163,Y,2
11a_164,Y,2
11a_165,Y,2
11a_166,Y,2
11a_167,Y,1
11a_168,Y,1
11a_169,Y,2
11a_170,Y,2
11a_171,Y,2
11a_172,Y,2
11a_173,Y,2
11a_174,Y,2
11a_175,Y,2
11a_176,Y,2
11a_177,Y,2
11a_178,Y,2
11a_179,Y,2
11a_180,Y,1
11a_181,Y,2
11a_182,Y,2
11a_183,Y,2
11a_184,Y,1
11a_185,Y,2
11a_186,Y,3
11a_187,Y,1
11a_188,Y,2
11a_189,Y,1
11a_190,Y,1
11a_191,Y,3
11a_192,Y,3
11a_193,Y,2
11a_194,Y,2
11a_195,Y,1
11a_196,Y,2
11a_197,Y,[2;3]
11a_198,Y,1
11a_199,Y,2
11a_200,Y,2
11a_201,Y,2
11a_202,Y,[2;3]
11a_203,Y,3
11a_204,Y,2
11a_205,Y,2
11a_206,Y,3
11a_207,Y,2
11a_208,Y,2
11a_209,Y,1
11a_210,Y,1
11a_211,Y,2
11a_212,Y,2
11a_213,Y,2
11a_214,Y,2
11a_215,Y,2
11a_216,Y,1
11a_217,Y,2
11a_218,Y,2
11a_219,Y,2
11a_220,Y,2
11a_221,Y,2
11a_222,Y,1
11a_223,Y,3
11a_224,Y,2
11a_225,Y,2
11a_226,Y,1
11a_227,Y,3
11a_228,Y,2
11a_229,Y,2
11a_230,Y,1
11a_231,Y,2
11a_232,Y,2
11a_233,Y,1
11a_234,Y,4
11a_235,Y,3
11a_236,Y,3
11a_237,Y,3
11a_238,Y,2
11a_239,Y,2
11a_240,Y,4
11a_241,Y,3
11a_242,Y,3
11a_243,Y,2
11a_244,Y,3
11a_245,Y,3
11a_246,Y,2
11a_247,Y,1
11a_248,Y,2
11a_249,Y,2
11a_250,Y,2
11a_251,Y,2
11a_252,Y,2
11a_253,Y,2
11a_254,Y,2
11a_255,Y,1
11a_256,Y,1
11a_257,Y,1
11a_258,Y,2
11a_259,Y,3
11a_260,Y,2
11a_261,Y,2
11a_262,Y,2
11a_263,Y,4
11a_264,Y,1
11a_265,Y,2
11a_266,Y,1
11a_267,Y,1
11a_268,Y,2
11a_269,Y,2
11a_270,Y,2
11a_271,Y,2
11a_272,Y,1
11a_273,Y,2
11a_274,Y,2
11a_275,Y,2
11a_276,Y,2
11a_277,Y,2
11a_278,Y,2
11a_279,Y,2
11a_280,Y,1
11a_281,Y,2
11a_282,Y,1
11a_283,Y,1
11a_284,Y,2
11a_285,Y,2
11a_286,Y,2
11a_287,Y,1
11a_288,Y,2
11a_289,Y,1
11a_290,Y,1
11a_291,Y,[3;4]
11a_292,Y,3
11a_293,Y,[2;3]
11a_294,Y,2
11a_295,Y,2
11a_296,Y,2
11a_297,Y,2
11a_298,Y,[3;4]
11a_299,Y,[2;3]
11a_300,Y,1
11a_301,Y,2
11a_302,Y,2
11a_303,Y,2
11a_304,Y,[2;3]
11a_305,Y,2
11a_306,Y,2
11a_307,Y,1
11a_308,Y,3
11a_309,Y,2
11a_310,Y,2
11a_311,Y,1
11a_312,Y,2
11a_313,Y,2
11a_314,Y,2
11a_315,Y,2
11a_316,Y,2
11a_317,Y,2
11a_318,Y,3
11a_319,Y,[3;4]
11a_320,Y,[2;3]
11a_321,Y,2
11a_322,Y,2
11a_323,Y,2
11a_324,Y,2
11a_325,Y,2
11a_326,Y,1
11a_327,Y,2
11a_328,Y,2
11a_329,Y,[2;3]
11a_330,Y,2
11a_331,Y,2
11a_332,Y,2
11a_333,Y,2
11a_334,Y,4
11a_335,Y,3
11a_336,Y,[3;4]
11a_337,Y,3
11a_338,Y,4
11a_339,Y,3
11a_340,Y,[3;4]
11a_341,Y,3
11a_342,Y,2
11a_343,Y,2
11a_344,Y,2
11a_345,Y,1
11a_346,Y,[2;3]
11a_347,Y,2
11a_348,Y,2
11a_349,Y,2
11a_350,Y,2
11a_351,Y,1
11a_352,Y,2
11a_353,Y,[3;4]
11a_354,Y,[2;4]
11a_355,Y,4
11a_356,Y,[3;4]
11a_357,Y,[3;4]
11a_358,Y,3
11a_359,Y,3
11a_360,Y,3
11a_361,Y,[3;4]
11a_362,Y,[2;3]
11a_363,Y,[2;3]
11a_364,Y,4
11a_365,Y,4
11a_366,Y,[3;4]
11a_367,Y,5
11n_1,N,1
11n_2,N,2
11n_3,N,[1;2]
11n_4,N,2
11n_5,N,2
11n_6,N,2
11n_7,N,2
11n_8,N,2
11n_9,N,3
11n_10,N,2
11n_11,N,2
11n_12,N,1
11n_13,N,3
11n_14,N,2
11n_15,N,2
11n_16,N,2
11n_17,N,[1;2]
11n_18,N,1
11n_19,N,2
11n_20,N,1
11n_21,N,1
11n_22,N,1
11n_23,N,[2;3]
11n_24,N,2
11n_25,N,1
11n_26,N,1
11n_27,N,3
11n_28,N,1
11n_29,N,2
11n_30,N,[2;3]
11n_31,N,2
11n_32,N,2
11n_33,N,2
11n_34,N,1
11n_35,N,2
11n_36,N,2
11n_37,N,2
11n_38,N,1
11n_39,N,1
11n_40,N,2
11n_41,N,2
11n_42,N,1
11n_43,N,2
11n_44,N,2
11n_45,N,1
11n_46,N,2
11n_47,N,2
11n_48,N,1
11n_49,N,2
11n_50,N,1
11n_51,N,[1;2]
11n_52,N,1
11n_53,N,1
11n_54,N,[1;2]
11n_55,N,1
11n_56,N,1
11n_57,N,3
11n_58,N,2
11n_59,N,2
11n_60,N,[1;2]
11n_61,N,2
11n_62,N,1
11n_63,N,1
11n_64,N,2
11n_65,N,[2;3]
11n_66,N,2
11n_67,N,2
11n_68,N,2
11n_69,N,2
11n_70,N,2
11n_71,N,2
11n_72,N,2
11n_73,N,2
11n_74,N,2
11n_75,N,2
11n_76,N,3
11n_77,N,4
11n_78,N,[2;3]
11n_79,N,2
11n_80,N,2
11n_81,N,3
11n_82,N,1
11n_83,N,2
11n_84,N,1
11n_85,N,1
11n_86,N,1
11n_87,N,1
11n_88,N,3
11n_89,N,2
11n_90,N,2
11n_91,N,2
11n_92,N,2
11n_93,N,3
11n_94,N,[1;2]
11n_95,N,2
11n_96,N,1
11n_97,N,2
11n_98,N,2
11n_99,N,[2;3]
11n_100,N,1
11n_101,N,1
11n_102,N,[1;2]
11n_103,N,2
11n_104,N,3
11n_105,N,2
11n_106,N,2
11n_107,N,2
11n_108,N,2
11n_109,N,2
11n_110,N,1
11n_111,N,1
11n_112,N,[1;2]
11n_113,N,2
11n_114,N,1
11n_115,N,[1;2]
11n_116,N,[1;2]
11n_117,N,2
11n_118,N,2
11n_119,N,[1;2]
11n_120,N,[1;2]
11n_121,N,2
11n_122,N,[1;2]
11n_123,N,1
11n_124,N,1
11n_125,N,1
11n_126,N,3
11n_127,N,2
11n_128,N,[1;2]
11n_129,N,[1;2]
11n_130,N,1
11n_131,N,1
11n_132,N,2
11n_133,N,3
11n_134,N,1
11n_135,N,2
11n_136,N,3
11n_137,N,[2;3]
11n_138,N,[1;2]
11n_139,N,2
11n_140,N,2
11n_141,N,[2;3]
11n_142,N,[1;2]
11n_143,N,1
11n_144,N,2
11n_145,N,1
11n_146,N,2
11n_147,N,2
11n_148,N,3
11n_149,N,2
11n_150,N,2
11n_151,N,1
11n_152,N,1
11n_153,N,1
11n_154,N,1
11n_155,N,2
11n_156,N,1
11n_157,N,2
11n_158,N,2
11n_159,N,1
11n_160,N,[1;2]
11n_161,N,[1;2]
11n_162,N,2
11n_163,N,2
11n_164,N,2
