Name,Unknotting Number
11a_227,3
11a_228,2
11a_229,2
11a_230,1
11a_231,2
11a_232,2
11a_233,1
11a_234,4
11a_235,3
11a_236,3
11a_237,3
11a_238,2
11a_239,2
11a_240,4
11a_241,3
11a_242,3
11a_243,2
11a_244,3
11a_245,3
11a_246,2
11a_247,1
11a_248,2
11a_249,2
11a_250,2
11a_251,2
11a_252,2
11a_253,2
11a_254,2
11a_255,1
11a_256,1
11a_257,1
11a_258,2
11a_259,3
11a_260,2
11a_261,2
11a_262,2
11a_263,4
11a_264,1
11a_265,2
11a_266,1
11a_267,1
11a_268,2
11a_269,2
11a_270,2
11a_271,2
11a_272,1
11a_273,2
11a_274,2
11a_275,2
11a_276,2
11a_277,2
11a_278,2
11a_279,2
11a_280,1
11a_281,2
11a_282,1
11a_283,1
11a_284,2
11a_285,2
11a_286,2
11a_287,1
11a_288,2
11a_289,1
11a_290,1
11a_291,[3;4]
11a_292,3
11a_293,[2;3]
11a_294,2
11a_295,2
11a_296,2
11a_297,2
11a_298,[3;4]
11a_299,[2;3]
11a_300,1
11a_301,2
11a_302,2
11a_303,2
11a_304,[2;3]
11a_305,2
11a_306,2
11a_307,1
11a_308,3
11a_309,2
11a_310,2
11a_311,1
11a_312,2
11a_313,2
11a_314,2
11a_315,2
11a_316,2
11a_317,2
11a_318,3
11a_319,[3;4]
11a_320,[2;3]
11a_321,2
11a_322,2
11a_323,2
11a_324,2
11a_325,2
11a_326,1
11a_327,2
11a_328,2
11a_329,[2;3]
11a_330,2
11a_331,2
11a_332,2
11a_333,2
11a_334,4
11a_335,3
11a_336,[3;4]
11a_337,3
11a_338,4
11a_339,3
11a_340,[3;4]
11a_341,3
11a_342,2
11a_343,2
11a_344,2
11a_345,1
11a_346,[2;3]
11a_347,2
11a_348,2
11a_349,2
11a_350,2
11a_351,1
11a_352,2
11a_353,[3;4]
11a_354,[2;4]
11a_355,4
11a_356,[3;4]
11a_357,[3;4]
11a_358,3
11a_359,3
11a_360,3
11a_361,[3;4]
11a_362,[2;3]
11a_363,[2;3]
11a_364,4
11a_365,4
11a_366,[3;4]
11a_367,5
11n_1,1
11n_2,2
11n_3,[1;2]
11n_4,2
11n_5,2
11n_6,2
11n_7,2
11n_8,2
11n_9,3
11n_10,2
11n_11,2
11n_12,1
11n_13,3
11n_14,2
11n_15,2
11n_16,2
11n_17,[1;2]
11n_18,1
11n_19,2
11n_20,1
11n_21,1
11n_22,1
11n_23,[2;3]
11n_24,2
11n_25,1
11n_26,1
11n_27,3
11n_28,1
11n_29,2
11n_30,[2;3]
11n_31,2
11n_32,2
11n_33,2
11n_34,1
11n_35,2
11n_36,2
11n_37,2
11n_38,1
11n_39,1
11n_40,2
11n_41,2
11n_42,1
11n_43,2
11n_44,2
11n_45,1
11n_46,2
11n_47,2
11n_48,1
11n_49,2
11n_50,1
11n_51,[1;2]
11n_52,1
11n_53,1
11n_54,[1;2]
11n_55,1
11n_56,1
11n_57,3
11n_58,2
11n_59,2
11n_60,[1;2]
11n_61,2
11n_62,1
11n_63,1
11n_64,2
11n_65,[2;3]
11n_66,2
11n_67,2
11n_68,2
11n_69,2
11n_70,2
11n_71,2
11n_72,2
11n_73,2
11n_74,2
11n_75,2
11n_76,3
11n_77,4
11n_78,[2;3]
11n_79,2
11n_80,2
11n_81,3
11n_82,1
11n_83,2
11n_84,1
11n_85,1
11n_86,1
11n_87,1
11n_88,3
11n_89,2
11n_90,2
11n_91,2
11n_92,2
11n_93,3
11n_94,[1;2]
11n_95,2
11n_96,1
11n_97,2
11n_98,2
11n_99,[2;3]
11n_100,1
11n_101,1
11n_102,[1;2]
11n_103,2
11n_104,3
11n_105,2
11n_106,2
11n_107,2
11n_108,2
11n_109,2
11n_110,1
11n_111,1
11n_112,[1;2]
11n_113,2
11n_114,1
11n_115,[1;2]
11n_116,[1;2]
11n_117,2
11n_118,2
11n_119,[1;2]
11n_120,[1;2]
11n_121,2
11n_122,[1;2]
11n_123,1
11n_124,1
11n_125,1
11n_126,3
11n_127,2
11n_128,[1;2]
11n_129,[1;2]
11n_130,1
11n_131,1
11n_132,2
11n_133,3
11n_134,1
11n_135,2
11n_136,3
11n_137,[2;3]
11n_138,[1;2]
11n_139,2
11n_140,2
11n_141,[2;3]
11n_142,[1;2]
11n_143,1
11n_144,2
11n_145,1
11n_146,2
11n_147,2
11n_148,3
11n_149,2
11n_150,2
11n_151,1
11n_152,1
11n_153,1
11n_154,1
11n_155,2
11n_156,1
11n_157,2
11n_158,2
11n_159,1
11n_160,[1;2]
11n_161,[1;2]
11n_162,2
11n_163,2
11n_164,2
11n_165,2
11n_166,[1;2]
11n_167,2
11n_168,2
11n_169,[3;4]
11n_170,2
11n_171,[2;3]
11n_172,[1;2]
11n_173,[2;3]
11n_174,2
11n_175,2
11n_176,1
11n_177,[1;2]
11n_178,2
11n_179,[1;2]
11n_180,[3;4]
11n_181,[2;3]
11n_182,[1;2]
11n_183,3
11n_184,1
11n_185,2
12a_1,1
12a_2,1
12a_3,2
12a_4,2
12a_5,2
12a_6,1
12a_7,2
12a_8,1
12a_9,2
12a_10,2
12a_11,2
12a_12,2
12a_13,2
12a_14,2
12a_15,2
12a_16,2
12a_17,2
12a_18,2
12a_19,1
12a_20,1
12a_21,2
12a_22,1
12a_23,2
12a_24,2
12a_25,1
12a_26,2
12a_27,1
12a_28,1
12a_29,2
12a_30,2
12a_31,1
12a_32,2
12a_33,2
12a_34,3
12a_35,[2;3]
12a_36,3
12a_37,[2;3]
12a_38,2
12a_39,2
12a_40,1
12a_41,[2;3]
12a_42,2
12a_43,3
12a_44,[2;3]
12a_45,[2;3]
12a_46,2
12a_47,[2;3]
12a_48,2
12a_49,[2;3]
12a_50,[2;3]
12a_51,2
12a_52,4
12a_53,3
12a_54,2
12a_55,3
12a_56,2
12a_57,2
12a_58,1
12a_59,2
12a_60,2
12a_61,1
12a_62,2
12a_63,2
12a_64,[2;3]
12a_65,[2;3]
12a_66,2
12a_67,2
12a_68,2
12a_69,2
12a_70,2
12a_71,2
12a_72,2
12a_73,1
12a_74,2
12a_75,[2;3]
12a_76,2
12a_77,2
12a_78,[2;3]
12a_79,2
12a_80,1
12a_81,2
12a_82,3
12a_83,2
12a_84,2
12a_85,[2;3]
12a_86,[2;3]
12a_87,2
12a_88,2
12a_89,[2;3]
12a_90,2
12a_91,2
12a_92,2
12a_93,4
12a_94,[3;4]
12a_95,2
12a_96,3
12a_97,[2;3]
12a_98,2
12a_99,2
12a_100,2
12a_101,2
12a_102,[3;4]
12a_103,[2;3]
12a_104,[2;3]
12a_105,3
12a_106,2
12a_107,[3;4]
12a_108,2
12a_109,2
12a_110,2
12a_111,2
12a_112,2
12a_113,2
12a_114,[2;3]
12a_115,2
12a_116,2
12a_117,[2;3]
12a_118,2
12a_119,2
12a_120,2
12a_121,1
12a_122,2
12a_123,2
12a_124,2
12a_125,[2;3]
12a_126,2
12a_127,[2;3]
12a_128,2
12a_129,2
12a_130,2
12a_131,2
12a_132,2
12a_133,2
12a_134,2
12a_135,2
12a_136,2
12a_137,2
12a_138,1
12a_139,2
12a_140,2
12a_141,2
12a_142,2
12a_143,4
12a_144,[3;4]
12a_145,[3;4]
12a_146,[3;4]
12a_147,[2;4]
12a_148,[2;4]
12a_149,2
12a_150,[2;4]
12a_151,1
12a_152,[2;3]
12a_153,[2;3]
12a_154,2
12a_155,2
12a_156,[2;4]
12a_157,2
12a_158,3
12a_159,2
12a_160,[2;4]
12a_161,[2;3]
12a_162,2
12a_163,2
12a_164,2
12a_165,2
12a_166,2
12a_167,[2;4]
12a_168,[2;3]
12a_169,2
12a_170,2
12a_171,2
12a_172,2
12a_173,1
12a_174,1
12a_175,2
12a_176,2
12a_177,2
12a_178,[2;3]
12a_179,2
12a_180,1
12a_181,[2;3]
12a_182,2
12a_183,[2;3]
12a_184,1
12a_185,2
12a_186,[2;3]
12a_187,2
12a_188,2
12a_189,2
12a_190,2
12a_191,1
12a_192,2
12a_193,[2;3]
12a_194,2
12a_195,[2;3]
12a_196,[2;3]
12a_197,2
12a_198,2
12a_199,[2;3]
12a_200,2
12a_201,2
12a_202,1
12a_203,2
12a_204,2
12a_205,3
12a_206,2
12a_207,2
12a_208,1
12a_209,1
12a_210,2
12a_211,[2;3]
12a_212,[2;3]
12a_213,2
12a_214,1
12a_215,2
12a_216,2
12a_217,1
12a_218,2
12a_219,2
12a_220,1
12a_221,2
12a_222,2
12a_223,2
12a_224,2
12a_225,2
12a_226,2
12a_227,2
12a_228,2
12a_229,2
12a_230,2
12a_231,[2;3]
12a_232,2
12a_233,2
12a_234,2
12a_235,2
12a_236,3
12a_237,2
12a_238,[2;3]
12a_239,2
12a_240,[2;3]
12a_241,2
12a_242,2
12a_243,2
12a_244,[2;3]
12a_245,2
12a_246,2
12a_247,2
12a_248,2
12a_249,2
12a_250,2
12a_251,2
12a_252,3
12a_253,2
12a_254,[2;3]
12a_255,2
12a_256,1
12a_257,2
12a_258,2
12a_259,2
12a_260,2
12a_261,1
12a_262,2
12a_263,2
12a_264,2
12a_265,2
12a_266,2
12a_267,2
12a_268,2
12a_269,[2;3]
12a_270,2
12a_271,2
12a_272,1
12a_273,2
12a_274,2
12a_275,2
12a_276,4
12a_277,3
12a_278,2
12a_279,2
12a_280,1
12a_281,2
12a_282,1
12a_283,2
12a_284,2
12a_285,2
12a_286,2
12a_287,1
12a_288,2
12a_289,[2;3]
12a_290,1
12a_291,2
12a_292,2
12a_293,3
12a_294,[2;3]
12a_295,3
12a_296,2
12a_297,[2;3]
12a_298,2
12a_299,2
12a_300,1
12a_301,1
12a_302,[2;3]
12a_303,1
12a_304,[2;3]
12a_305,2
12a_306,2
12a_307,2
12a_308,1
12a_309,1
12a_310,1
12a_311,3
12a_312,2
12a_313,2
12a_314,2
12a_315,[2;3]
12a_316,1
12a_317,2
12a_318,2
12a_319,[3;4]
12a_320,[2;3]
12a_321,3
12a_322,2
12a_323,2
12a_324,2
12a_325,2
12a_326,2
12a_327,3
12a_328,2
12a_329,[2;3]
12a_330,2
12a_331,[2;3]
12a_332,2
12a_333,2
12a_334,2
12a_335,2
12a_336,2
12a_337,2
12a_338,2
12a_339,2
12a_340,1
12a_341,2
12a_342,2
12a_343,2
12a_344,3
12a_345,2
12a_346,1
12a_347,2
12a_348,2
12a_349,2
12a_350,[2;3]
12a_351,2
12a_352,2
12a_353,2
12a_354,2
12a_355,3
12a_356,2
12a_357,2
12a_358,1
12a_359,1
12a_360,1
12a_361,2
12a_362,2
12a_363,2
12a_364,2
12a_365,2
12a_366,2
12a_367,4
12a_368,[3;4]
12a_369,3
12a_370,[2;3]
12a_371,[2;3]
12a_372,[2;3]
12a_373,3
12a_374,1
12a_375,[2;3]
12a_376,[2;3]
12a_377,2
12a_378,2
12a_379,[2;3]
12a_380,[2;3]
12a_381,[2;3]
12a_382,[2;3]
12a_383,2
12a_384,2
12a_385,2
12a_386,3
12a_387,2
12a_388,1
12a_389,2
12a_390,2
12a_391,[3;4]
12a_392,[2;4]
12a_393,2
12a_394,2
12a_395,2
12a_396,2
12a_397,2
12a_398,2
12a_399,2
12a_400,2
12a_401,2
12a_402,2
12a_403,2
12a_404,2
12a_405,2
12a_406,2
12a_407,1
12a_408,2
12a_409,3
12a_410,2
12a_411,2
12a_412,2
12a_413,2
12a_414,[2;3]
12a_415,1
12a_416,2
12a_417,2
12a_418,2
12a_419,2
12a_420,3
12a_421,[2;3]
12a_422,[2;4]
12a_423,[2;3]
12a_424,[2;3]
12a_425,2
12a_426,1
12a_427,2
12a_428,2
12a_429,2
12a_430,2
12a_431,[3;4]
12a_432,3
12a_433,3
12a_434,[2;3]
12a_435,2
12a_436,[2;3]
12a_437,2
12a_438,2
12a_439,1
12a_440,2
12a_441,2
12a_442,3
12a_443,[2;3]
12a_444,2
12a_445,2
12a_446,2
12a_447,2
12a_448,2
12a_449,[2;3]
12a_450,2
12a_451,1
12a_452,2
12a_453,2
12a_454,[2;3]
12a_455,1
12a_456,2
12a_457,2
12a_458,2
12a_459,2
12a_460,2
12a_461,[2;3]
12a_462,[2;3]
